SampleID	Window	Site	newDate
oro162489	window_6	MAP	2016-07-18
oro162491	window_6	MAP	2016-07-18
oro162497	window_6	MAP	2016-07-30
oro163592	window_6	EPS	2016-08-06
oro163972	window_6	HOL	2016-07-27
oro163974	window_6	HOL	2016-07-27
oro163975	window_6	HOL	2016-07-27
oro163977	window_6	HOL	2016-07-27
oro163978	window_6	HOL	2016-07-27
oro163979	window_6	HOL	2016-07-27
oro163981	window_6	HOL	2016-07-27
oro163983	window_6	HOL	2016-07-27
