"Site","SampleID","SeqBatch","StudyID","SampleType","Date","WOY","SiteLat","SiteLong","newDate","dayLength"
"ALS","oro163414",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163415",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163416",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163417",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163420",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163421",7.1,"oro16","sample","7/16/16",29,43.134867,-72.327917,2016-07-16,15.0404793256636
"ALS","oro163423",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163424",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163425",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163426",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163427",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163428",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163430",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163432",7.1,"oro16","sample","7/23/16",30,43.134867,-72.327917,2016-07-23,14.8391983897816
"ALS","oro163433",7.1,"oro16","sample","7/31/16",31,43.134867,-72.327917,2016-07-31,14.5664466502994
"ALS","oro163434",7.1,"oro16","sample","7/31/16",31,43.134867,-72.327917,2016-07-31,14.5664466502994
"ALS","oro163435",7.1,"oro16","sample","7/31/16",31,43.134867,-72.327917,2016-07-31,14.5664466502994
"ALS","oro163436",7.1,"oro16","sample","7/31/16",31,43.134867,-72.327917,2016-07-31,14.5664466502994
"ALS","oro163437",7.1,"oro16","sample","7/31/16",31,43.134867,-72.327917,2016-07-31,14.5664466502994
"ALS","oro163438",7.1,"oro16","sample","7/31/16",31,43.134867,-72.327917,2016-07-31,14.5664466502994
"ALS","oro163439",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163440",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163442",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163443",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163445",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163446",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163447",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163448",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163449",7.1,"oro16","sample","8/4/16",32,43.134867,-72.327917,2016-08-04,14.4158932365905
"ALS","oro163453",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163455",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163457",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163458",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163459",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163460",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163461",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163462",7.1,"oro16","sample","8/10/16",33,43.134867,-72.327917,2016-08-10,14.1755633691816
"ALS","oro163464",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163465",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163467",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163468",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163469",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163470",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163471",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163472",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163473",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163475",7.1,"oro16","sample","8/17/16",34,43.134867,-72.327917,2016-08-17,13.877302935644
"ALS","oro163479",7.1,"oro16","sample","8/25/16",35,43.134867,-72.327917,2016-08-25,13.5186258228718
"ALS","oro163480",7.1,"oro16","sample","8/25/16",35,43.134867,-72.327917,2016-08-25,13.5186258228718
"ALS","oro163481",7.1,"oro16","sample","8/25/16",35,43.134867,-72.327917,2016-08-25,13.5186258228718
"ALS","oro163482",7.1,"oro16","sample","8/25/16",35,43.134867,-72.327917,2016-08-25,13.5186258228718
"ALS","oro163483",7.1,"oro16","sample","8/25/16",35,43.134867,-72.327917,2016-08-25,13.5186258228718
"ALS","oro163484",7.1,"oro16","sample","8/25/16",35,43.134867,-72.327917,2016-08-25,13.5186258228718
"ALS","oro163485",7.1,"oro16","sample","8/25/16",35,43.134867,-72.327917,2016-08-25,13.5186258228718
"ALS","oro163486",7.1,"oro16","sample","8/25/16",35,43.134867,-72.327917,2016-08-25,13.5186258228718
"ALS","oro163488",7.1,"oro16","sample","9/1/16",36,43.134867,-72.327917,2016-09-01,13.1935304571464
"BRN","oro152016",3.2,"oro15","sample","7/11/15",28,42.731521,-71.605841,2015-07-11,15.1340447152239
"BRN","oro160551",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544
"BRN","oro150416",3.2,"oro15","sample","6/26/15",26,42.731521,-71.605841,2015-06-26,15.3217059904312
"BRN","oro160550",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544
"BRN","oro160444",4.2,"oro16","sample","5/20/16",21,42.731521,-71.605841,2016-05-20,14.7949776866268
"BRN","oro160448",4.2,"oro16","sample","5/26/16",22,42.731521,-71.605841,2016-05-26,14.9687526709762
"BRN","oro160411",4.2,"oro16","sample","5/9/16",20,42.731521,-71.605841,2016-05-09,14.4117253982284
"BRN","oro152015",3.2,"oro15","sample","7/18/15",29,42.731521,-71.605841,2015-07-18,14.9709209597001
"BRN","oro152026",3.2,"oro15","sample","7/11/15",28,42.731521,-71.605841,2015-07-11,15.1340447152239
"BRN","oro160440",4.2,"oro16","sample","5/20/16",21,42.731521,-71.605841,2016-05-20,14.7949776866268
"BRN","oro162654",7.2,"oro16","sample","8/26/16",35,42.731521,-71.605841,2016-08-26,13.4530203197274
"BRN","oro160548",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544
"BRN","oro160451",4.2,"oro16","sample","5/26/16",22,42.731521,-71.605841,2016-05-26,14.9687526709762
"BRN","oro160415",4.2,"oro16","sample","5/9/16",20,42.731521,-71.605841,2016-05-09,14.4117253982284
"BRN","oro160553",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544
"BRN","oro160552",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544
"BRN","oro160547",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544
"BRN","oro160527",4.2,"oro16","sample","7/9/16",28,42.731521,-71.605841,2016-07-09,15.1536995134115
"BRN","oro160408",4.2,"oro16","sample","5/9/16",20,42.731521,-71.605841,2016-05-09,14.4117253982284
"BRN","oro152028",3.2,"oro15","sample","7/25/15",30,42.731521,-71.605841,2015-07-25,14.7675289185821
"BRN","oro160429",4.2,"oro16","sample","05/15/16",20,42.731521,-71.605841,2016-05-15,14.6301012169954
"BRN","oro160531",4.2,"oro16","sample","7/9/16",28,42.731521,-71.605841,2016-07-09,15.1536995134115
"BRN","oro162666",7.2,"oro16","sample","9/2/16",36,42.731521,-71.605841,2016-09-02,13.1314060464735
"BRN","oro160413",4.2,"oro16","sample","5/9/16",20,42.731521,-71.605841,2016-05-09,14.4117253982284
"BRN","oro152037",3.1,"oro15","sample","8/1/15",31,42.731521,-71.605841,2015-08-01,14.5303563452236
"BRN","oro162655",7.2,"oro16","sample","8/26/16",35,42.731521,-71.605841,2016-08-26,13.4530203197274
"BRN","oro160446",4.2,"oro16","sample","5/26/16",22,42.731521,-71.605841,2016-05-26,14.9687526709762
"BRN","oro162657",7.2,"oro16","sample","8/26/16",35,42.731521,-71.605841,2016-08-26,13.4530203197274
"BRN","oro162700",7.2,"oro16","sample","9/25/16",39,42.731521,-71.605841,2016-09-25,12.0385909831306
"BRN","oro152030",3.1,"oro15","sample","7/11/15",28,42.731521,-71.605841,2015-07-11,15.1340447152239
"BRN","oro160450",4.2,"oro16","sample","5/26/16",22,42.731521,-71.605841,2016-05-26,14.9687526709762
"BRN","oro160528",4.2,"oro16","sample","7/9/16",28,42.731521,-71.605841,2016-07-09,15.1536995134115
"BRN","oro162658",7.2,"oro16","sample","9/2/16",36,42.731521,-71.605841,2016-09-02,13.1314060464735
"BRN","oro160546",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544
"BRN","oro160409",4.2,"oro16","sample","5/9/16",20,42.731521,-71.605841,2016-05-09,14.4117253982284
"BRN","oro150362",3.1,"oro15","sample","6/13/15",24,42.731521,-71.605841,2015-06-13,15.2854676327116
"BRN","oro160395",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149
"BRN","oro160412",4.2,"oro16","sample","5/9/16",20,42.731521,-71.605841,2016-05-09,14.4117253982284
"BRN","oro162668",7.2,"oro16","sample","9/2/16",36,42.731521,-71.605841,2016-09-02,13.1314060464735
"BRN","oro160414",4.2,"oro16","sample","5/9/16",20,42.731521,-71.605841,2016-05-09,14.4117253982284
"BRN","oro162670",7.2,"oro16","sample","9/9/16",37,42.731521,-71.605841,2016-09-09,12.8029399062653
"BRN","oro162671",7.2,"oro16","sample","9/9/16",37,42.731521,-71.605841,2016-09-09,12.8029399062653
"BRN","oro160554",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544
"BRN","oro160555",4.2,"oro16","sample","4/29/16",18,42.731521,-71.605841,2016-04-29,14.0080092685544
"BRN","oro150441",3.1,"oro15","sample","8/29/15",35,42.731521,-71.605841,2015-08-29,13.3619883398406
"BRN","oro160452",4.2,"oro16","sample","5/26/16",22,42.731521,-71.605841,2016-05-26,14.9687526709762
"BRN","oro152036",3.1,"oro15","sample","7/11/15",28,42.731521,-71.605841,2015-07-11,15.1340447152239
"BRN","oro151882",3.2,"oro15","sample","8/22/15",34,42.731521,-71.605841,2015-08-22,13.6769546279944
"BRN","oro162665",7.2,"oro16","sample","9/2/16",36,42.731521,-71.605841,2016-09-02,13.1314060464735
"BRN","oro160410",4.2,"oro16","sample","5/9/16",20,42.731521,-71.605841,2016-05-09,14.4117253982284
"BRN","oro152042",3.1,"oro15","sample","8/1/15",31,42.731521,-71.605841,2015-08-01,14.5303563452236
"BRN","oro152047",3.1,"oro15","sample","8/1/15",31,42.731521,-71.605841,2015-08-01,14.5303563452236
