SampleID,rBC,fBC,SeqBatch,StudyID,DNAplate,DNAwell,SampleType,Site,Date,WOY,HostSpecies
bri160202,SA710,SA506,1.2,bri16,25,F10,sample,MSH,7/9/16,28,EPFU
bri160203,SA711,SA506,1.2,bri16,25,F11,sample,MSH,7/11/16,29,EPFU
bri160204,SA712,SA506,1.2,bri16,25,F12,sample,MSH,7/12/16,29,EPFU
bri160205,SA701,SA507,1.2,bri16,25,G01,sample,MSH,7/12/16,29,EPFU
bri160206,SA702,SA507,1.2,bri16,25,G02,sample,MSH,7/12/16,29,EPFU
bri160207,SA703,SA507,1.2,bri16,25,G03,sample,MSH,7/12/16,29,EPFU
bri160208,SA704,SA507,1.2,bri16,25,G04,sample,MSH,7/12/16,29,EPFU
bri160209,SA705,SA507,1.2,bri16,25,G05,sample,MSH,7/12/16,29,EPFU
bri160210,SA706,SA507,1.2,bri16,25,G06,sample,MSH,7/12/16,29,EPFU
bri160211,SA708,SA507,1.2,bri16,25,G08,sample,MSH,7/12/16,29,EPFU
bri160212,SA709,SA507,1.2,bri16,25,G09,sample,MSH,7/12/16,29,EPFU
bri160213,SA710,SA507,1.2,bri16,25,G10,sample,MSH,7/12/16,29,EPFU
bri160214,SA711,SA507,1.2,bri16,25,G11,sample,MSH,7/12/16,29,EPFU
bri160215,SA712,SA507,1.2,bri16,25,G12,sample,MSH,7/13/16,29,EPFU
bri160216,SA701,SA508,1.2,bri16,25,H01,sample,MSH,7/13/16,29,EPFU
bri160217,SA702,SA508,1.2,bri16,25,H02,sample,MSH,7/13/16,29,EPFU
bri160218,SA703,SA508,1.2,bri16,25,H03,sample,MSH,7/13/16,29,EPFU
bri160219,SA704,SA508,1.2,bri16,25,H04,sample,MSH,7/13/16,29,EPFU
bri160220,SA705,SA508,1.2,bri16,25,H05,sample,MSH,7/13/16,29,EPFU
bri160221,SA706,SA508,1.2,bri16,25,H06,sample,MSH,7/13/16,29,EPFU
bri160222,SA707,SA508,1.2,bri16,25,H07,sample,MSH,7/13/16,29,EPFU
bri160223,SA709,SA508,1.2,bri16,25,H09,sample,MSH,7/15/16,29,EPFU
bri160224,SA710,SA508,1.2,bri16,25,H10,sample,MSH,7/15/16,29,EPFU
bri160225,SA712,SA508,1.2,bri16,25,H12,sample,MSH,7/15/16,29,EPFU
bri160226,SA702,SB501,1.2,bri16,26,A02,sample,MSH,7/15/16,29,EPFU
bri160227,SA703,SB501,1.2,bri16,26,A03,sample,MSH,7/15/16,29,EPFU
bri160228,SA704,SB501,1.2,bri16,26,A04,sample,MSH,7/15/16,29,EPFU
bri160229,SA705,SB501,1.2,bri16,26,A05,sample,MSH,7/15/16,29,EPFU
bri160230,SA706,SB501,1.2,bri16,26,A06,sample,MSH,7/15/16,29,EPFU
bri160231,SA707,SB501,1.2,bri16,26,A07,sample,MSH,7/15/16,29,EPFU
bri160232,SA708,SB501,1.2,bri16,26,A08,sample,MSH,7/15/16,29,EPFU
bri160233,SA709,SB501,1.2,bri16,26,A09,sample,MSH,7/16/16,29,MYSE
bri160234,SA710,SB501,1.2,bri16,26,A10,sample,MSH,7/16/16,29,EPFU
bri160235,SA711,SB501,1.2,bri16,26,A11,sample,MSH,7/16/16,29,EPFU
bri160237,SA705,SA504,1.2,bri16,25,D05,sample,NCM,7/27/16,31,MYLU
bri160244,SA712,SB501,1.2,bri16,26,A12,sample,ELY,7/5/16,28,EPFU
bri160245,SA701,SB502,1.2,bri16,26,B01,sample,ELY,7/5/16,28,EPFU
bri160246,SA703,SB502,1.2,bri16,26,B03,sample,ELY,7/5/16,28,EPFU
bri160247,SA704,SB502,1.2,bri16,26,B04,sample,ELY,7/5/16,28,MYSE
bri160248,SA705,SB502,1.2,bri16,26,B05,sample,ELY,7/5/16,28,MYSE
bri160249,SA706,SB502,1.2,bri16,26,B06,sample,ELY,7/5/16,28,EPFU
bri160250,SA707,SB502,1.2,bri16,26,B07,sample,ELY,7/5/16,28,EPFU
bri160251,SA708,SB502,1.2,bri16,26,B08,sample,ELY,7/5/16,28,EPFU
bri160252,SA709,SB502,1.2,bri16,26,B09,sample,ELY,7/5/16,28,EPFU
bri160253,SA710,SB502,1.2,bri16,26,B10,sample,ELY,7/5/16,28,EPFU
bri160254,SA711,SB502,1.2,bri16,26,B11,sample,ELY,7/5/16,28,EPFU
bri160255,SA712,SB502,1.2,bri16,26,B12,sample,ELY,7/5/16,28,EPFU
bri160256,SA701,SB503,1.2,bri16,26,C01,sample,ELY,7/5/16,28,EPFU
bri160257,SA702,SB503,1.2,bri16,26,C02,sample,ELY,7/5/16,28,EPFU
bri160258,SA704,SB503,1.2,bri16,26,C04,sample,ELY,7/5/16,28,EPFU
bri160259,SA705,SB503,1.2,bri16,26,C05,sample,ELY,7/5/16,28,EPFU
bri160260,SA706,SB503,1.2,bri16,26,C06,sample,ELY,7/5/16,28,EPFU
bri160261,SA707,SB503,1.2,bri16,26,C07,sample,ELY,7/5/16,28,EPFU
bri160262,SA708,SB503,1.2,bri16,26,C08,sample,ELY,7/5/16,28,EPFU
bri160263,SA709,SB503,1.2,bri16,26,C09,sample,ELY,7/5/16,28,EPFU
bri160264,SA710,SB503,1.2,bri16,26,C10,sample,ELY,7/5/16,28,EPFU
bri160265,SA711,SB503,1.2,bri16,26,C11,sample,ELY,7/5/16,28,MYSE
bri160266,SA712,SB503,1.2,bri16,26,C12,sample,ELY,7/5/16,28,EPFU
bri160267,SA701,SB504,1.2,bri16,26,D01,sample,ELY,7/5/16,28,EPFU
bri160268,SA702,SB504,1.2,bri16,26,D02,sample,ELY,7/5/16,28,EPFU
bri160269,SA703,SB504,1.2,bri16,26,D03,sample,ELY,7/5/16,28,EPFU
bri160270,SA705,SB504,1.2,bri16,26,D05,sample,ELY,7/5/16,28,EPFU
bri160271,SA706,SB504,1.2,bri16,26,D06,sample,ELY,7/5/16,28,EPFU
bri160272,SA707,SB504,1.2,bri16,26,D07,sample,ELY,7/6/16,28,EPFU
bri160273,SA708,SB504,1.2,bri16,26,D08,sample,ELY,7/6/16,28,EPFU
bri160274,SA709,SB504,1.2,bri16,26,D09,sample,ELY,7/6/16,28,EPFU
bri160275,SA710,SB504,1.2,bri16,26,D10,sample,ELY,7/6/16,28,EPFU
bri160276,SA711,SB504,1.2,bri16,26,D11,sample,ELY,7/6/16,28,EPFU
bri160277,SA712,SB504,1.2,bri16,26,D12,sample,ELY,7/6/16,28,MYLE
bri160278,SA701,SB505,1.2,bri16,26,E01,sample,ELY,7/6/16,28,EPFU
bri160279,SA702,SB505,1.2,bri16,26,E02,sample,ELY,7/6/16,28,EPFU
