Box ,Sample ID,Location name,Collection Date,WEEK OF YEAR,status,PlateNumber,
14c,2055,brown lane,7/11/2015,28,in collection box 14C,,
1A,1706,Hopkinton,8/3/2015,32,in collection box 1A,,
1A,1707,Hopkinton,8/3/2015,32,in collection box 1A,,
1A,1708,Hopkinton,8/3/2015,32,in collection box 1A,,
1A,1709,Hopkinton,8/3/2015,32,in collection box 1A,,
1A,1710,Hopkinton,8/3/2015,32,in collection box 1A,,
1A,1711,Hopkinton,8/3/2015,32,in collection box 1A,,
1A,1712,Hopkinton,8/3/2015,32,in collection box 1A,,
1A,1713,Hopkinton,8/3/2015,32,in collection box 1A,,
1A,1714,Hopkinton,8/3/2015,32,in collection box 1A,,
1A,1715,Hopkinton,8/3/2015,32,in collection box 1A,,
1A,1718,Hopkinton,8/10/2015,33,in collection box 1A,,
1A,1719,Hopkinton,8/10/2015,33,in collection box 1A,,
1A,1720,Hopkinton,8/10/2015,33,in collection box 1A,,
1A,1721,Hopkinton,8/10/2015,33,in collection box 1A,,
1A,1722,Hopkinton,8/10/2015,33,in collection box 1A,,
1A,1723,Hopkinton,8/10/2015,33,in collection box 1A,,
1A,1724,Hopkinton,8/10/2015,33,in collection box 1A,,
1A,1725,Hopkinton,8/10/2015,33,in collection box 1A,,
1A,1726,Hopkinton,8/10/2015,33,in collection box 1A,,
1A,1727,Hopkinton,8/10/2015,33,in collection box 1A,,
1A,1730,Hopkinton,8/17/2015,34,in collection box 1A,,
1A,1731,Hopkinton,8/17/2015,34,in collection box 1A,,
1A,1732,Hopkinton,8/17/2015,34,in collection box 1A,,
1A,1733,Hopkinton,8/17/2015,34,in collection box 1A,,
1A,1734,Hopkinton,8/17/2015,34,in collection box 1A,,
1A,1735,Hopkinton,8/17/2015,34,in collection box 1A,,
1A,1736,Hopkinton,8/17/2015,34,in collection box 1A,,
1A,1737,Hopkinton,8/17/2015,34,in collection box 1A,,
1A,1738,Hopkinton,8/17/2015,34,in collection box 1A,,
1A,1739,Hopkinton,8/17/2015,34,in collection box 1A,,
1A,1742,Hopkinton,8/24/2015,35,in collection box 1A,,
1A,1743,Hopkinton,8/24/2015,35,in collection box 1A,,
1A,1744,Hopkinton,8/24/2015,35,in collection box 1A,,
1A,1745,Hopkinton,8/24/2015,35,in collection box 1A,,
1A,1746,Hopkinton,8/24/2015,35,in collection box 1A,,
1A,1747,Hopkinton,8/24/2015,35,in collection box 1A,,
1A,1748,Hopkinton,8/24/2015,35,in collection box 1A,,
1A,1749,Hopkinton,8/24/2015,35,in collection box 1A,,
1A,1750,Hopkinton,8/24/2015,35,in collection box 1A,,
1A,1751,Hopkinton,8/24/2015,35,in collection box 1A,,
1B,1611,Hopkinton,7/29/2015,31,collection box 1B,,
1B,1612,Hopkinton,7/29/2015,31,collection box 1B,,
1B,1613,Hopkinton,7/29/2015,31,collection box 1B,,
1B,1614,Hopkinton,7/29/2015,31,collection box 1B,,
1B,1615,Hopkinton,7/29/2015,31,collection box 1B,,
1B,1616,Hopkinton,7/29/2015,31,collection box 1B,,
1B,1617,Hopkinton,7/29/2015,31,collection box 1B,,
1B,1618,Hopkinton,7/29/2015,31,collection box 1B,,
1B,1619,Hopkinton,7/29/2015,31,collection box 1B,,
1B,1623,Hopkinton,7/20/2015,30,collection box 1B,,
1B,1624,Hopkinton,7/20/2015,30,collection box 1B,,
1B,1625,Hopkinton,7/20/2015,30,collection box 1B,,
1B,1626,Hopkinton,7/20/2015,30,collection box 1B,,
1B,1627,Hopkinton,7/20/2015,30,collection box 1B,,
1B,1628,Hopkinton,7/20/2015,30,collection box 1B,,
1B,1629,Hopkinton,7/20/2015,30,collection box 1B,,
1B,1630,Hopkinton,7/20/2015,30,collection box 1B,,
1B,1631,Hopkinton,7/20/2015,30,collection box 1B,,
1B,1637,Hopkinton,7/13/2015,29,collection box 1B,,
1B,1638,Hopkinton,7/13/2015,29,collection box 1B,,
1B,1639,Hopkinton,7/13/2015,29,collection box 1B,,
1B,1640,Hopkinton,7/13/2015,29,collection box 1B,,
1B,1641,Hopkinton,7/13/2015,29,collection box 1B,,
1B,1642,Hopkinton,7/13/2015,29,collection box 1B,,
1B,1643,Hopkinton,7/13/2015,29,collection box 1B,,
1B,1653,Hopkinton,7/6/2015,28,collection box 1B,,
1B,1654,Hopkinton,7/6/2015,28,collection box 1B,,
1B,1655,Hopkinton,7/6/2015,28,collection box 1B,,
1C,1451,Hopkinton,8/31/2015,36,in collection box 1C,,
1C,1452,Hopkinton,8/31/2015,36,in collection box 1C,,
1C,1453,Hopkinton,8/31/2015,36,in collection box 1C,,
1C,1454,Hopkinton,8/31/2015,36,in collection box 1C,,
1C,1455,Hopkinton,8/31/2015,36,in collection box 1C,,
1C,1456,Hopkinton,8/31/2015,36,in collection box 1C,,
1C,1457,Hopkinton,8/31/2015,36,in collection box 1C,,
1C,1458,Hopkinton,8/31/2015,36,in collection box 1C,,
1C,1459,Hopkinton,8/31/2015,36,in collection box 1C,,
1C,1463,Hopkinton,9/9/2015,37,in collection box 1C,,
1C,1464,Hopkinton,9/9/2015,37,in collection box 1C,,
1C,1465,Hopkinton,9/9/2015,37,in collection box 1C,,
1C,1466,Hopkinton,9/9/2015,37,in collection box 1C,,
1C,1467,Hopkinton,9/9/2015,37,in collection box 1C,,
1C,1468,Hopkinton,9/9/2015,37,in collection box 1C,,
1C,1469,Hopkinton,9/9/2015,37,in collection box 1C,,
1C,1470,Hopkinton,9/9/2015,37,in collection box 1C,,
1C,1471,Hopkinton,9/9/2015,37,in collection box 1C,,
1C,1474,Hopkinton,9/18/2015,38,in collection box 1C,,
1C,1475,Hopkinton,9/18/2015,38,in collection box 1C,,
1C,1476,Hopkinton,9/18/2015,38,in collection box 1C,,
1C,1477,Hopkinton,9/18/2015,38,in collection box 1C,,
1C,1478,Hopkinton,9/18/2015,38,in collection box 1C,,
1C,1479,Hopkinton,9/18/2015,38,in collection box 1C,,
1C,1480,Hopkinton,9/18/2015,38,in collection box 1C,,
1C,1481,Hopkinton,9/18/2015,38,in collection box 1C,,
1C,1482,Hopkinton,9/18/2015,38,in collection box 1C,,
1C,1483,Hopkinton,9/18/2015,38,in collection box 1C,,
1C,1486,Hopkinton,9/23/2015,39,in collection box 1C,,
1C,1487,Hopkinton,9/23/2015,39,in collection box 1C,,
1C,1488,Hopkinton,9/23/2015,39,in collection box 1C,,
1C,1489,Hopkinton,9/23/2015,39,in collection box 1C,,
1C,1490,Hopkinton,9/23/2015,39,in collection box 1C,,
1C,1491,Hopkinton,9/23/2015,39,in collection box 1C,,
1C,1492,Hopkinton,9/23/2015,39,in collection box 1C,,
1C,1493,Hopkinton,9/23/2015,39,in collection box 1C,,
1C,1494,Hopkinton,9/23/2015,39,in collection box 1C,,
1C,1495,Hopkinton,9/23/2015,39,in collection box 1C,,
2,0239,fox state,7/12/2015,28,in collection box,,
2,0252,fox state,7/12/2015,28,in collection box,,
2,0256,fox state,7/12/2015,28,in collection box,,
2,0263,fox state,7/12/2015,28,in collection box,,
2,0265,fox state,7/12/2015,28,in collection box,,
2,1097,fox state,7/19/2015,29,in collection box,,
2,1244,fox state,7/19/2015,29,in collection box,,
2,1249,fox state,7/19/2015,29,in collection box,,
2,1303,fox state,7/19/2015,29,in collection box,,
2,1308,fox state,7/19/2015,29,in collection box,,
2,1324,fox state,7/19/2015,29,in collection box,,
2,1328,fox state,7/19/2015,29,in collection box,,
2,1340,fox state,8/9/2015,32,in collection box 2,,
2,1344,fox state,8/9/2015,32,in collection box 2,,
2,1347,fox state,8/9/2015,32,in collection box 2,,
2,1353,fox state,8/9/2015,32,in collection box 2,,
2,1356,fox state,8/9/2015,32,in collection box 2,,
2,1357,fox state,8/9/2015,32,in collection box 2,,
2,1358,fox state,8/9/2015,32,in collection box 2,,
2,1359,fox state,8/9/2015,32,in collection box 2,,
2,1360,fox state,8/9/2015,32,in collection box 2,,
2,1365,fox state,8/9/2015,32,in collection box 2,,
2,1445,fox state,8/2/2015,31,in collection box 2,,
2,1446,fox state,8/2/2015,31,in collection box 2,,
2,1498,fox state,6/29/2015,27,in collection box,,
2,1499,fox state,6/29/2015,27,in collection box,,
2,1503,fox state,6/29/2015,27,in collection box,,
2,1673,fox state,8/2/2015,31,in collection box 2,,
2,1674,fox state,8/2/2015,31,in collection box 2,,
2,1675,fox state,8/2/2015,31,in collection box 2,,
2,1677,fox state,8/2/2015,31,in collection box 2,,
2,1678,fox state,8/2/2015,31,in collection box 2,,
2,1679,fox state,8/2/2015,31,in collection box 2,,
2A,1217,wilton,8/24/2015,35,in collection box 2A,,
2A,1218,wilton,8/20/2015,34,in collection box 2A,,
2A,1219,wilton,8/20/2015,34,in collection box 2A,,
2A,1222,wilton,8/20/2015,34,in collection box 2A,,
2A,1223,wilton,8/20/2015,34,in collection box 2A,,
2A,1225,wilton,8/24/2015,35,in collection box 2A,,
2A,1226,wilton,8/24/2015,35,in collection box 2A,,
2A,1227,wilton,8/20/2015,34,in collection box 2A,,
2A,1228,wilton,8/20/2015,34,in collection box 2A,,
2A,1230,wilton,8/24/2015,35,in collection box 2A,,
2A,1231,wilton,8/24/2015,35,in collection box 2A,,
2A,1232,wilton,8/20/2015,34,in collection box 2A,,
2A,1234,wilton,8/24/2015,35,in collection box 2A,,
2A,1235,wilton,8/24/2015,35,in collection box 2A,,
2A,1236,wilton,8/20/2015,34,in collection box 2A,,
2A,1237,wilton,8/20/2015,34,in collection box 2A,,
2A,1238,wilton,8/24/2015,35,in collection box 2A,,
2A,1239,wilton,8/24/2015,35,in collection box 2A,,
4A,1256,Swanzey,7/22/2015,30,in collection box 4A,,
4A,1257,Swanzey,8/4/2015,32,in collection box 4A,,
4A,1259,Swanzey,7/15/2015,29,in collection box 4A,,
4A,1260,Swanzey,7/22/2015,30,in collection box 4A,,
4A,1261,Swanzey,7/27/2015,31,in collection box 4A,,
4A,1262,Swanzey,8/4/2015,32,in collection box 4A,,
4A,1263,Swanzey,8/4/2015,32,in collection box 4A,,
4A,1264,Swanzey,7/15/2015,29,in collection box 4A,,
4A,1266,Swanzey,7/22/2015,30,in collection box 4A,,
4A,1267,Swanzey,7/27/2015,31,in collection box 4A,,
4A,1268,Swanzey,8/4/2015,32,in collection box 4A,,
4A,1269,Swanzey,7/15/2015,29,in collection box 4A,,
4A,1270,Swanzey,7/22/2015,30,in collection box 4A,,
4A,1271,Swanzey,7/27/2015,31,in collection box 4A,,
4A,1272,Swanzey,8/4/2015,32,in collection box 4A,,
4A,1273,Swanzey,8/4/2015,32,in collection box 4A,,
4A,1274,Swanzey,7/15/2015,29,in collection box 4A,,
4A,1275,Swanzey,7/15/2015,29,in collection box 4A,,
4A,1276,Swanzey,7/22/2015,30,in collection box 4A,,
4A,1279,Swanzey,7/27/2015,31,in collection box 4A,,
4A,1280,Swanzey,7/22/2015,30,in collection box 4A,,
4A,1281,Swanzey,7/27/2015,31,in collection box 4A,,
4A,1282,Swanzey,8/4/2015,32,in collection box 4A,,
4A,1283,Swanzey,7/27/2015,31,in collection box 4A,,
4A,1284,Swanzey,7/15/2015,29,in collection box 4A,,
4A,1285,Swanzey,7/15/2015,29,in collection box 4A,,
4A,1286,Swanzey,7/22/2015,30,in collection box 4A,,
4A,1287,Swanzey,7/27/2015,31,in collection box 4A,,
4A,1288,Swanzey,8/4/2015,32,in collection box 4A,,
4A,1289,Swanzey,7/15/2015,29,in collection box 4A,,
4A,1290,Swanzey,7/22/2015,30,in collection box 4A,,
4A,1291,Swanzey,7/27/2015,31,in collection box 4A,,
4A,1292,Swanzey,8/4/2015,32,in collection box 4A,,
4A,1293,Swanzey,8/4/2015,32,in collection box 4A,,
4A,1294,Swanzey,7/15/2015,29,in collection box 4A,,
4A,1295,Swanzey,7/15/2015,29,in collection box 4A,,
4A,1296,Swanzey,7/22/2015,30,in collection box 4A,,
4A,1297,Swanzey,7/27/2015,31,in collection box 4A,,
4A,1299,Swanzey,7/15/2015,29,in collection box 4A,,
4A,1300,Swanzey,7/22/2015,30,in collection box 4A,,
4A,1301,Swanzey,7/27/2015,31,in collection box 4A,,
4C,1048,Swanzey,8/26/2015,35,in collection box 4c,,
4C,1050,Swanzey,8/7/2015,32,in collection box 4c,,
4C,1052,Swanzey,8/7/2015,32,in collection box 4c,,
4C,1054,Swanzey,8/11/2015,33,in collection box 4c,,
4C,1055,Swanzey,9/9/2015,37,in collection box 4c,,
4C,1056,Swanzey,9/9/2015,37,in collection box 4c,,
4C,1057,Swanzey,8/7/2015,32,in collection box 4c,,
4C,1058,Swanzey,9/9/2015,37,in collection box 4c,,
4C,1059,Swanzey,8/26/2015,35,in collection box 4c,,
4C,1060,Swanzey,8/26/2015,35,in collection box 4c,,
4C,1061,Swanzey,8/26/2015,35,in collection box 4c,,
4C,1062,Swanzey,8/20/2015,34,in collection box 4c,,
4C,1063,Swanzey,8/26/2015,35,in collection box 4c,,
4C,1063,Swanzey,9/9/2015,37,in collection box 4c,,
4C,1064,Swanzey,8/16/2015,33,in collection box 4c,,
4C,1065,Swanzey,8/11/2015,33,in collection box 4c,,
4C,1066,Swanzey,8/16/2015,33,in collection box 4c,,
4C,1068,Swanzey,8/26/2015,35,in collection box 4c,,
4C,1069,Swanzey,8/26/2015,35,in collection box 4c,,
4C,1070,Swanzey,9/9/2015,37,in collection box 4c,,
4C,1072,Swanzey,8/16/2015,33,in collection box 4c,,
4C,1074,Swanzey,8/16/2015,33,in collection box 4c,,
4C,1075,Swanzey,8/20/2015,34,in collection box 4c,,
4C,1076,Swanzey,8/16/2015,33,in collection box 4c,,
4C,1077,Swanzey,8/26/2015,35,in collection box 4c,,
4C,1080,Swanzey,8/20/2015,34,in collection box 4c,,
4C,1081,Swanzey,8/11/2015,33,in collection box 4c,,
4C,1082,Swanzey,8/26/2015,35,in collection box 4c,,
4C,1083,Swanzey,8/26/2015,35,in collection box 4c,,
4C,1085,Swanzey,8/16/2015,33,in collection box 4c,,
4C,1086,Swanzey,8/7/2015,32,in collection box 4c,,
4C,1090,Swanzey,8/20/2015,34,in collection box 4c,,
4C,1091,Swanzey,8/11/2015,33,in collection box 4c,,
4C,1092,Swanzey,9/9/2015,37,in collection box 4c,,
4C,1093,Swanzey,9/9/2015,37,in collection box 4c,,
4C,1094,Swanzey,9/9/2015,37,in collection box 4c,,
4C,1095,Swanzey,9/9/2015,37,in collection box 4c,,
4C,1258,Swanzey,9/9/2015,37,in collection box 4c,,
5A,2001,Cornish,8/21/2015,34,in collection box 5A,,
5A,2003,Cornish,8/16/2015,33,in collection box 5A,,
5A,2004,Cornish,8/1/2015,31,in collection box 5A,,
5A,2007,Cornish,8/16/2015,33,in collection box 5A,,
5A,2120,Cornish,8/1/2015,31,in collection box 5A,,
5A,2123,Cornish,8/21/2015,34,in collection box 5A,,
5A,2126,Cornish,8/1/2015,31,in collection box 5A,,
5A,2129,Cornish,8/16/2015,33,in collection box 5A,,
5A,2130,Cornish,8/1/2015,31,in collection box 5A,,
5A,2136,Cornish,8/1/2015,31,in collection box 5A,,
5A,2139,Cornish,8/16/2015,33,in collection box 5A,,
5A,2144,Cornish,8/16/2015,33,in collection box 5A,,
5A,2146,Cornish,8/1/2015,31,in collection box 5A,,
5A,2153,Cornish,8/16/2015,33,in collection box 5A,,
5A,2333,Cornish,8/21/2015,34,in collection box 5A,,
5B,1973,Cornish,7/26/2015,30,in collection box 5B,,
6,0014,Hopkinton,6/15/2015,25,in collection box,,
6,0015,Hopkinton,6/15/2015,25,in collection box,,
6,0016,Hopkinton,6/15/2015,25,in collection box,,
6,0019,Hopkinton,6/22/2015,26,in collection box,,
6,0020,Hopkinton,6/22/2015,26,in collection box,,
6,0572,Hopkinton,6/29/2015,27,in collection box,,
6,0573,Hopkinton,6/29/2015,27,in collection box,,
6,0574,Hopkinton,6/29/2015,27,in collection box,,
6,0575,Hopkinton,6/29/2015,27,in collection box,,
6,0576,Hopkinton,6/29/2015,27,in collection box,,
6,0577,Hopkinton,6/29/2015,27,in collection box,,
6,0578,Hopkinton,6/22/2015,26,in collection box,,
6,0578,Hopkinton,6/22/2015,26,in collection box,,
6,0580,Hopkinton,6/22/2015,26,in collection box,,
6,0581,Hopkinton,6/22/2015,26,in collection box,,
8,0111,wilton,7/10/2015,28,in collection box 8,,
8,0112,wilton,7/10/2015,28,in collection box 8,,
8,0120,wilton,7/10/2015,28,in collection box 8,,
8,0121,wilton,7/10/2015,28,in collection box 8,,
8,0122,wilton,7/10/2015,28,in collection box 8,,
8,0123,wilton,7/10/2015,28,in collection box 8,,
8,0130,wilton,7/19/2015,29,in collection box 8,,
8,0131,wilton,7/19/2015,29,in collection box 8,,
8,0132,wilton,7/19/2015,29,in collection box 8,,
8,0133,wilton,7/19/2015,29,in collection box 8,,
8,0134,wilton,7/19/2015,29,in collection box 8,,
8,0135,wilton,7/19/2015,29,in collection box 8,,
8,1126,wilton,8/13/2015,33,in collection box 8,,
8,1127,wilton,8/13/2015,33,in collection box 8,,
8,1128,wilton,8/13/2015,33,in collection box 8,,
8,1129,wilton,8/13/2015,33,in collection box 8,,
8,1130,wilton,8/13/2015,33,in collection box 8,,
8,1131,wilton,8/13/2015,33,in collection box 8,,
8,1132,wilton,8/13/2015,33,in collection box 8,,
8,1206,wilton,7/2/2015,27,in collection box 8,,
8,1207,wilton,7/2/2015,27,in collection box 8,,
8,1208,wilton,7/2/2015,27,in collection box 8,,
8,1209,wilton,7/2/2015,27,in collection box 8,,
8,1210,wilton,7/2/2015,27,in collection box 8,,
8,1212,wilton,7/2/2015,27,in collection box 8,,
9,0142,Greenfield,7/5/2015,27,in collection box 9,,
9,0168,Greenfield,7/5/2015,27,in collection box 9,,
99j,2341,fox state,8/23/2015,34,in collection box 99j,,
99j,2345,fox state,8/23/2015,34,in collection box 99j,,
99j,2346,fox state,8/23/2015,34,in collection box 99j,,
99j,2355,fox state,8/23/2015,34,in collection box 99j,,
99j,2356,fox state,8/23/2015,34,in collection box 99j,,
99j,2360,fox state,8/23/2015,34,in collection box 99j,,
99j,2370,fox state,8/23/2015,34,in collection box 99j,,
99j,2376,fox state,8/23/2015,34,in collection box 99j,,
99j,2380,fox state,8/23/2015,34,in collection box 99j,,
DRO DNA box 1,0083,wilton,5/31/2015,22,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0084,wilton,5/31/2015,22,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0087,wilton,5/31/2015,22,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0088A,wilton,5/31/2015,22,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0244,willard,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0247,fox state,7/12/2015,28,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0473,willard,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0477,willard,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0489,unknown,unknown,#VALUE!,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0494,willard,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0506A,willard,5/31/2015,22,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0507A,willard,5/31/2015,22,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0516A,willard,5/31/2015,22,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0517A,willard,5/31/2015,22,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0538,willard,8/9/2015,32,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0539,willard,8/9/2015,32,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0544,willard,8/9/2015,32,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0547,fox state,8/9/2015,32,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0548,willard,8/9/2015,32,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0552,fox state,8/9/2015,32,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0558,fox state,8/9/2015,32,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0563,willard,8/9/2015,32,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,0564,willard,8/9/2015,32,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,1327,fox state,7/19/2015,29,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,1432,willard,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,1433,willard,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,1436,willard,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,1437,willard,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,1438,unknown,unknown,#VALUE!,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,1443,willard,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9001,massabesic,7/26/2015,30,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9002,massabesic,7/26/2015,30,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9003,massabesic,7/26/2015,30,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9004,massabesic,7/26/2015,30,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9005,massabesic,7/26/2015,30,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9006,massabesic,7/26/2015,30,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9009,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9010,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9011,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9012,fox state,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9012,fox state,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9013,fox state,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9013,fox state,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9017,fox state,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,9017,fox state,8/2/2015,31,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,M-C2,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,M-OC1,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,M001,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,M002,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,M003,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,M004,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,M006,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,N-B3,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,O-B1,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,O-B3,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,O-C1,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,O-C2,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,O-C3,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,O-C4,,,53,"sample destroyed, gDNA in freezer",,
DRO DNA box 1,O-C6,,,53,"sample destroyed, gDNA in freezer",,
