Terms,Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr(>F),Metric
Site,8,13.868915238555159,1.7336144048193949,5.928505150882567,0.07994847300111434,0.001,uu
Window,1,2.1387652542802744,2.1387652542802744,7.314014460932111,0.012329083655526148,0.001,uu
Site:Window,8,8.038791849247207,1.004848981155901,3.436319139989192,0.0463402596429793,0.001,uu
Residuals,511,149.42670003935675,0.2924201566327921,NA,0.8613821837003802,NA,uu
Total,528,173.47317238143938,NA,NA,1,NA,uu
