Terms,Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr(>F),Metric
Site,8,167.46766354980463,20.93345794372558,8.470609199520965,0.10772985675678477,0.001,dc_min10
Window,1,17.817719793147887,17.817719793147887,7.209842807626671,0.011461916649225206,0.001,dc_min10
Site:Window,8,106.39268070620096,13.29908508827512,5.381402002325205,0.06844108294996715,0.001,dc_min10
Residuals,511,1262.8367992527285,2.471304890905535,NA,0.8123671436440227,NA,dc_min10
Total,528,1554.514863301882,NA,NA,1,NA,dc_min10
