Terms,Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr(>F),Metric
Site,8,4.873102413028708,0.6091378016285885,6.671254155053202,0.08864485392779278,0.001,wu
Window,1,0.44600698685683593,0.44600698685683593,4.884651644170396,0.008113152741258898,0.002,wu
Site:Window,8,2.995910317588315,0.3744887896985394,4.10138705497796,0.05449752744234373,0.001,wu
Residuals,511,46.658305829412136,0.09130783919650125,NA,0.8487444658886046,NA,wu
Total,528,54.973325546885995,NA,NA,1,NA,wu
