Terms,Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr(>F),Metric
Site,8,14.499537397585609,1.8124421746982011,4.22716314883761,0.05875660201447588,0.001,bc
Window,1,2.195404719823646,2.195404719823646,5.1203475939683365,0.008896457717668938,0.001,bc
Site:Window,8,10.981155765512408,1.372644470689051,3.201421928905759,0.044499033402308256,0.001,bc
Residuals,511,219.09680763692708,0.42876087600181423,NA,0.8878479068655469,NA,bc
Total,528,246.77290551984873,NA,NA,1,NA,bc
