Terms,Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr(>F),Metric
Site,8,16.758099524779944,2.094762440597493,5.039203077998311,0.06912310392805103,0.001,ds
Window,1,3.124423705223876,3.124423705223876,7.516177131686674,0.012887491458808019,0.001,ds
Site:Window,8,10.13672234176298,1.2670902927203724,3.0481381465656985,0.04181152587639141,0.001,ds
Residuals,511,212.4192239481081,0.41569319755011375,NA,0.8761778787367496,NA,ds
Total,528,242.4384695198749,NA,NA,1,NA,ds
