windowA,windowB,pvalue,BHadjusted_pvalue,Metric,Windowgroup
4PEN,6HOL,0.922,0.954,SR,window456
4PEN,6HOP,0.351,0.615,SR,window456
4PEN,6MAP,0.316,0.597,SR,window456
4PEN,6PEN,0.942,0.965,SR,window456
5CNA,5EPS,0.006,0.079,SR,window456
5CNA,5FOX,0.561,0.746,SR,window456
5CNA,5HOL,0.289,0.573,SR,window456
5CNA,5HOP,0.924,0.951,SR,window456
5CNA,5MAP,0.637,0.801,SR,window456
5CNA,5PEN,0.096,0.331,SR,window456
5CNA,6CNA,0.193,0.495,SR,window456
5CNA,6EPS,0.455,0.677,SR,window456
5CNA,6FOX,0.286,0.577,SR,window456
5CNA,6HOL,0.435,0.672,SR,window456
5CNA,6HOP,0.806,0.919,SR,window456
5CNA,6MAP,0.705,0.866,SR,window456
5CNA,6PEN,0.505,0.716,SR,window456
5EPS,5FOX,0.018,0.143,SR,window456
5EPS,5HOL,0,0.002,SR,window456
5EPS,5HOP,0.002,0.047,SR,window456
5EPS,5MAP,0.013,0.118,SR,window456
5EPS,5PEN,0.16,0.449,SR,window456
5EPS,6CNA,0,0.009,SR,window456
5EPS,6EPS,0.004,0.068,SR,window456
5EPS,6FOX,0.001,0.035,SR,window456
5EPS,6HOL,0.011,0.104,SR,window456
5EPS,6HOP,0.001,0.041,SR,window456
5EPS,6MAP,0.002,0.043,SR,window456
5EPS,6PEN,0.146,0.425,SR,window456
5FOX,5HOL,0.057,0.268,SR,window456
5FOX,5HOP,0.46,0.676,SR,window456
5FOX,5MAP,0.906,0.951,SR,window456
5FOX,5PEN,0.246,0.534,SR,window456
5FOX,6CNA,0.057,0.274,SR,window456
5FOX,6EPS,0.218,0.51,SR,window456
5FOX,6FOX,0.117,0.392,SR,window456
5FOX,6HOL,0.883,0.941,SR,window456
5FOX,6HOP,0.367,0.626,SR,window456
5FOX,6MAP,0.33,0.609,SR,window456
5FOX,6PEN,0.802,0.926,SR,window456
5HOL,5HOP,0.287,0.574,SR,window456
5HOL,5MAP,0.077,0.313,SR,window456
5HOL,5PEN,0.001,0.034,SR,window456
5HOL,6CNA,0.567,0.744,SR,window456
5HOL,6EPS,0.963,0.973,SR,window456
5HOL,6FOX,0.689,0.851,SR,window456
5HOL,6HOL,0.014,0.126,SR,window456
5HOL,6HOP,0.38,0.638,SR,window456
5HOL,6MAP,0.56,0.75,SR,window456
5HOL,6PEN,0.128,0.406,SR,window456
5HOP,5MAP,0.535,0.735,SR,window456
5HOP,5PEN,0.051,0.257,SR,window456
5HOP,6CNA,0.195,0.481,SR,window456
5HOP,6EPS,0.478,0.693,SR,window456
5HOP,6FOX,0.297,0.572,SR,window456
5HOP,6HOL,0.321,0.603,SR,window456
5HOP,6HOP,0.869,0.936,SR,window456
5HOP,6MAP,0.754,0.9,SR,window456
5HOP,6PEN,0.44,0.674,SR,window456
5MAP,5PEN,0.199,0.485,SR,window456
5MAP,6CNA,0.071,0.3,SR,window456
5MAP,6EPS,0.251,0.539,SR,window456
5MAP,6FOX,0.138,0.415,SR,window456
5MAP,6HOL,0.777,0.912,SR,window456
5MAP,6HOP,0.433,0.678,SR,window456
5MAP,6MAP,0.386,0.628,SR,window456
5MAP,6PEN,0.738,0.891,SR,window456
5PEN,6CNA,0.004,0.063,SR,window456
5PEN,6EPS,0.039,0.222,SR,window456
5PEN,6FOX,0.016,0.135,SR,window456
5PEN,6HOL,0.232,0.519,SR,window456
5PEN,6HOP,0.034,0.202,SR,window456
5PEN,6MAP,0.041,0.224,SR,window456
5PEN,6PEN,0.594,0.765,SR,window456
6CNA,6EPS,0.711,0.868,SR,window456
6CNA,6FOX,0.943,0.957,SR,window456
6CNA,6HOL,0.029,0.184,SR,window456
6CNA,6HOP,0.245,0.536,SR,window456
6CNA,6MAP,0.349,0.621,SR,window456
6CNA,6PEN,0.09,0.331,SR,window456
6EPS,6FOX,0.785,0.915,SR,window456
6EPS,6HOL,0.159,0.452,SR,window456
6EPS,6HOP,0.554,0.745,SR,window456
6EPS,6MAP,0.664,0.825,SR,window456
6EPS,6PEN,0.227,0.517,SR,window456
6FOX,6HOL,0.078,0.303,SR,window456
6FOX,6HOP,0.354,0.614,SR,window456
6FOX,6MAP,0.453,0.684,SR,window456
6FOX,6PEN,0.138,0.421,SR,window456
6HOL,6HOP,0.238,0.526,SR,window456
6HOL,6MAP,0.227,0.513,SR,window456
6HOL,6PEN,0.865,0.942,SR,window456
6HOP,6MAP,0.868,0.94,SR,window456
6HOP,6PEN,0.374,0.634,SR,window456
6MAP,6PEN,0.336,0.614,SR,window456
4CNA,4EPS,0.576,0.96,H,window456
4CNA,4FOX,0.817,0.98,H,window456
4CNA,4HOL,0.698,0.946,H,window456
4CNA,4HOP,0.424,0.891,H,window456
4CNA,4MAP,0.531,0.945,H,window456
4CNA,4PEN,0.985,0.989,H,window456
4CNA,5CNA,0.754,0.959,H,window456
4CNA,5EPS,0.035,0.336,H,window456
4CNA,5FOX,0.385,0.833,H,window456
4CNA,5HOL,0.261,0.702,H,window456
4CNA,5HOP,0.883,0.986,H,window456
4CNA,5MAP,0.977,0.996,H,window456
4CNA,5PEN,0.618,0.934,H,window456
4CNA,6CNA,0.774,0.979,H,window456
4CNA,6EPS,0.605,0.934,H,window456
4CNA,6FOX,0.215,0.664,H,window456
4CNA,6HOL,0.042,0.33,H,window456
4CNA,6HOP,0.552,0.95,H,window456
4CNA,6MAP,0.971,1,H,window456
4CNA,6PEN,0.111,0.507,H,window456
4EPS,4FOX,0.834,0.979,H,window456
4EPS,4HOL,0.365,0.843,H,window456
4EPS,4HOP,0.211,0.672,H,window456
4EPS,4MAP,0.191,0.635,H,window456
4EPS,4PEN,0.644,0.939,H,window456
4EPS,5CNA,0.826,0.981,H,window456
4EPS,5EPS,0.116,0.517,H,window456
4EPS,5FOX,0.142,0.573,H,window456
4EPS,5HOL,0.071,0.415,H,window456
4EPS,5HOP,0.664,0.942,H,window456
4EPS,5MAP,0.54,0.952,H,window456
4EPS,5PEN,0.91,0.974,H,window456
4EPS,6CNA,0.439,0.887,H,window456
4EPS,6EPS,0.346,0.856,H,window456
4EPS,6FOX,0.095,0.463,H,window456
4EPS,6HOL,0.158,0.581,H,window456
4EPS,6HOP,0.234,0.682,H,window456
4EPS,6MAP,0.574,0.964,H,window456
4EPS,6PEN,0.235,0.675,H,window456
4FOX,4HOL,0.591,0.947,H,window456
4FOX,4HOP,0.377,0.852,H,window456
4FOX,4MAP,0.47,0.897,H,window456
4FOX,4PEN,0.846,0.982,H,window456
4FOX,5CNA,0.978,0.992,H,window456
4FOX,5EPS,0.151,0.576,H,window456
4FOX,5FOX,0.357,0.853,H,window456
4FOX,5HOL,0.273,0.724,H,window456
4FOX,5HOP,0.903,0.977,H,window456
4FOX,5MAP,0.795,0.982,H,window456
4FOX,5PEN,0.892,0.981,H,window456
4FOX,6CNA,0.652,0.944,H,window456
4FOX,6EPS,0.522,0.954,H,window456
4FOX,6FOX,0.205,0.673,H,window456
4FOX,6HOL,0.208,0.67,H,window456
4FOX,6HOP,0.481,0.909,H,window456
4FOX,6MAP,0.801,0.978,H,window456
4FOX,6PEN,0.233,0.689,H,window456
4HOL,4HOP,0.661,0.945,H,window456
4HOL,4MAP,0.911,0.971,H,window456
4HOL,4PEN,0.718,0.949,H,window456
4HOL,5CNA,0.505,0.948,H,window456
4HOL,5EPS,0.02,0.281,H,window456
4HOL,5FOX,0.695,0.948,H,window456
4HOL,5HOL,0.571,0.967,H,window456
4HOL,5HOP,0.591,0.941,H,window456
4HOL,5MAP,0.707,0.945,H,window456
4HOL,5PEN,0.382,0.836,H,window456
4HOL,6CNA,0.942,0.989,H,window456
4HOL,6EPS,0.85,0.975,H,window456
4HOL,6FOX,0.38,0.841,H,window456
4HOL,6HOL,0.024,0.296,H,window456
4HOL,6HOP,0.887,0.986,H,window456
4HOL,6MAP,0.737,0.956,H,window456
4HOL,6PEN,0.069,0.413,H,window456
4HOP,4MAP,0.675,0.939,H,window456
4HOP,4PEN,0.458,0.899,H,window456
4HOP,5CNA,0.301,0.781,H,window456
4HOP,5EPS,0.013,0.232,H,window456
4HOP,5FOX,0.89,0.983,H,window456
4HOP,5HOL,0.973,0.997,H,window456
4HOP,5HOP,0.349,0.852,H,window456
4HOP,5MAP,0.424,0.882,H,window456
4HOP,5PEN,0.217,0.662,H,window456
4HOP,6CNA,0.628,0.928,H,window456
4HOP,6EPS,0.835,0.974,H,window456
4HOP,6FOX,0.675,0.932,H,window456
4HOP,6HOL,0.017,0.267,H,window456
4HOP,6HOP,0.723,0.944,H,window456
4HOP,6MAP,0.459,0.893,H,window456
4HOP,6PEN,0.041,0.333,H,window456
4MAP,4PEN,0.59,0.954,H,window456
4MAP,5CNA,0.336,0.85,H,window456
4MAP,5EPS,0.002,0.066,H,window456
4MAP,5FOX,0.699,0.942,H,window456
4MAP,5HOL,0.512,0.951,H,window456
4MAP,5HOP,0.398,0.852,H,window456
4MAP,5MAP,0.527,0.954,H,window456
4MAP,5PEN,0.176,0.616,H,window456
4MAP,6CNA,0.849,0.979,H,window456
4MAP,6EPS,0.896,0.975,H,window456
4MAP,6FOX,0.356,0.86,H,window456
4MAP,6HOL,0.001,0.041,H,window456
4MAP,6HOP,0.957,1,H,window456
4MAP,6MAP,0.592,0.935,H,window456
4MAP,6PEN,0.029,0.306,H,window456
4PEN,5CNA,0.798,0.98,H,window456
4PEN,5EPS,0.072,0.41,H,window456
4PEN,5FOX,0.445,0.889,H,window456
4PEN,5HOL,0.34,0.85,H,window456
4PEN,5HOP,0.915,0.971,H,window456
4PEN,5MAP,0.965,0.998,H,window456
4PEN,5PEN,0.69,0.947,H,window456
4PEN,6CNA,0.784,0.98,H,window456
4PEN,6EPS,0.624,0.937,H,window456
4PEN,6FOX,0.249,0.68,H,window456
4PEN,6HOL,0.098,0.466,H,window456
4PEN,6HOP,0.596,0.935,H,window456
4PEN,6MAP,0.96,0.998,H,window456
