windowA,windowB,pvalue,BHadjusted_pvalue,Metric,Windowgroup
5HOP,5MAP,0.065,0.186,PD,window456
5HOP,5PEN,0.353,0.537,PD,window456
5HOP,6CNA,0.644,0.773,PD,window456
5HOP,6EPS,0.76,0.867,PD,window456
5HOP,6FOX,0.21,0.396,PD,window456
5HOP,6HOL,0.066,0.186,PD,window456
5HOP,6HOP,0.246,0.442,PD,window456
5HOP,6MAP,0.421,0.61,PD,window456
5HOP,6PEN,0.103,0.251,PD,window456
5MAP,5PEN,0.004,0.028,PD,window456
5MAP,6CNA,0.049,0.153,PD,window456
5MAP,6EPS,0.317,0.524,PD,window456
5MAP,6FOX,0.959,0.992,PD,window456
5MAP,6HOL,0,0.002,PD,window456
5MAP,6HOP,0.491,0.666,PD,window456
5MAP,6MAP,0.396,0.586,PD,window456
5MAP,6PEN,0.003,0.026,PD,window456
5PEN,6CNA,0.796,0.885,PD,window456
5PEN,6EPS,0.342,0.536,PD,window456
5PEN,6FOX,0.054,0.158,PD,window456
5PEN,6HOL,0.357,0.535,PD,window456
5PEN,6HOP,0.03,0.119,PD,window456
5PEN,6MAP,0.095,0.244,PD,window456
5PEN,6PEN,0.294,0.494,PD,window456
6CNA,6EPS,0.528,0.684,PD,window456
6CNA,6FOX,0.139,0.3,PD,window456
6CNA,6HOL,0.355,0.536,PD,window456
6CNA,6HOP,0.159,0.327,PD,window456
6CNA,6MAP,0.268,0.473,PD,window456
6CNA,6PEN,0.271,0.475,PD,window456
6EPS,6FOX,0.438,0.618,PD,window456
6EPS,6HOL,0.125,0.285,PD,window456
6EPS,6HOP,0.607,0.741,PD,window456
6EPS,6MAP,0.755,0.871,PD,window456
6EPS,6PEN,0.114,0.266,PD,window456
6FOX,6HOL,0.011,0.057,PD,window456
6FOX,6HOP,0.664,0.783,PD,window456
6FOX,6MAP,0.56,0.704,PD,window456
6FOX,6PEN,0.018,0.081,PD,window456
6HOL,6HOP,0.002,0.015,PD,window456
6HOL,6MAP,0.013,0.064,PD,window456
6HOL,6PEN,0.598,0.739,PD,window456
6HOP,6MAP,0.816,0.897,PD,window456
6HOP,6PEN,0.014,0.068,PD,window456
6MAP,6PEN,0.033,0.12,PD,window456
