SampleID,Site,rBC,fBC,SeqBatch,StudyID,DNAplate,DNAwell,SampleType,Date,WOY,HostSpecies,SiteLat,SiteLong,newDate
bri160190,SRY,SA702,SA506,1.2,bri16,25,F02,sample,7/4/16,28,EPFU,NA,NA,NA
bri160191,MSH,SA711,SA508,1.2,bri16,25,H11,sample,7/15/16,29,EPFU,NA,NA,NA
bri160192,SRY,SA703,SA506,1.2,bri16,25,F03,sample,7/4/16,28,EPFU,NA,NA,NA
bri160193,SRY,SA704,SA506,1.2,bri16,25,F04,sample,7/4/16,28,EPFU,NA,NA,NA
bri160194,SRY,SA705,SA506,1.2,bri16,25,F05,sample,7/4/16,28,EPFU,NA,NA,NA
bri160195,SRY,SA707,SA506,1.2,bri16,25,F07,sample,7/4/16,28,EPFU,NA,NA,NA
bri160196,SRY,SA708,SA506,1.2,bri16,25,F08,sample,7/4/16,28,LABO,NA,NA,NA
bri160197,SAG,SB710,SA507,1.2,bri16,28,G10,sample,7/6/16,28,MYSE,NA,NA,NA
bri160198,SAG,SB711,SA507,1.2,bri16,28,G11,sample,7/6/16,28,MYSE,NA,NA,NA
bri160199,SAG,SB712,SA507,1.2,bri16,28,G12,sample,7/6/16,28,MYSE,NA,NA,NA
bri160200,SAG,SB701,SA508,1.2,bri16,28,H01,sample,7/6/16,28,EPFU,NA,NA,NA
bri160201,MSH,SA709,SA506,1.2,bri16,25,F09,sample,7/9/16,28,EPFU,NA,NA,NA
bri160202,MSH,SA710,SA506,1.2,bri16,25,F10,sample,7/9/16,28,EPFU,NA,NA,NA
bri160203,MSH,SA711,SA506,1.2,bri16,25,F11,sample,7/11/16,29,EPFU,NA,NA,NA
bri160204,MSH,SA712,SA506,1.2,bri16,25,F12,sample,7/12/16,29,EPFU,NA,NA,NA
bri160205,MSH,SA701,SA507,1.2,bri16,25,G01,sample,7/12/16,29,EPFU,NA,NA,NA
bri160206,MSH,SA702,SA507,1.2,bri16,25,G02,sample,7/12/16,29,EPFU,NA,NA,NA
bri160207,MSH,SA703,SA507,1.2,bri16,25,G03,sample,7/12/16,29,EPFU,NA,NA,NA
bri160208,MSH,SA704,SA507,1.2,bri16,25,G04,sample,7/12/16,29,EPFU,NA,NA,NA
bri160209,MSH,SA705,SA507,1.2,bri16,25,G05,sample,7/12/16,29,EPFU,NA,NA,NA
bri160210,MSH,SA706,SA507,1.2,bri16,25,G06,sample,7/12/16,29,EPFU,NA,NA,NA
bri160211,MSH,SA708,SA507,1.2,bri16,25,G08,sample,7/12/16,29,EPFU,NA,NA,NA
bri160212,MSH,SA709,SA507,1.2,bri16,25,G09,sample,7/12/16,29,EPFU,NA,NA,NA
bri160213,MSH,SA710,SA507,1.2,bri16,25,G10,sample,7/12/16,29,EPFU,NA,NA,NA
bri160214,MSH,SA711,SA507,1.2,bri16,25,G11,sample,7/12/16,29,EPFU,NA,NA,NA
bri160215,MSH,SA712,SA507,1.2,bri16,25,G12,sample,7/13/16,29,EPFU,NA,NA,NA
bri160216,MSH,SA701,SA508,1.2,bri16,25,H01,sample,7/13/16,29,EPFU,NA,NA,NA
bri160217,MSH,SA702,SA508,1.2,bri16,25,H02,sample,7/13/16,29,EPFU,NA,NA,NA
bri160218,MSH,SA703,SA508,1.2,bri16,25,H03,sample,7/13/16,29,EPFU,NA,NA,NA
bri160219,MSH,SA704,SA508,1.2,bri16,25,H04,sample,7/13/16,29,EPFU,NA,NA,NA
bri160220,MSH,SA705,SA508,1.2,bri16,25,H05,sample,7/13/16,29,EPFU,NA,NA,NA
bri160221,MSH,SA706,SA508,1.2,bri16,25,H06,sample,7/13/16,29,EPFU,NA,NA,NA
bri160222,MSH,SA707,SA508,1.2,bri16,25,H07,sample,7/13/16,29,EPFU,NA,NA,NA
bri160223,MSH,SA709,SA508,1.2,bri16,25,H09,sample,7/15/16,29,EPFU,NA,NA,NA
bri160224,MSH,SA710,SA508,1.2,bri16,25,H10,sample,7/15/16,29,EPFU,NA,NA,NA
bri160225,MSH,SA712,SA508,1.2,bri16,25,H12,sample,7/15/16,29,EPFU,NA,NA,NA
bri160226,MSH,SA702,SB501,1.2,bri16,26,A02,sample,7/15/16,29,EPFU,NA,NA,NA
bri160227,MSH,SA703,SB501,1.2,bri16,26,A03,sample,7/15/16,29,EPFU,NA,NA,NA
bri160228,MSH,SA704,SB501,1.2,bri16,26,A04,sample,7/15/16,29,EPFU,NA,NA,NA
bri160229,MSH,SA705,SB501,1.2,bri16,26,A05,sample,7/15/16,29,EPFU,NA,NA,NA
bri160230,MSH,SA706,SB501,1.2,bri16,26,A06,sample,7/15/16,29,EPFU,NA,NA,NA
bri160231,MSH,SA707,SB501,1.2,bri16,26,A07,sample,7/15/16,29,EPFU,NA,NA,NA
bri160232,MSH,SA708,SB501,1.2,bri16,26,A08,sample,7/15/16,29,EPFU,NA,NA,NA
bri160233,MSH,SA709,SB501,1.2,bri16,26,A09,sample,7/16/16,29,MYSE,NA,NA,NA
bri160234,MSH,SA710,SB501,1.2,bri16,26,A10,sample,7/16/16,29,EPFU,NA,NA,NA
bri160235,MSH,SA711,SB501,1.2,bri16,26,A11,sample,7/16/16,29,EPFU,NA,NA,NA
bri160237,NCM,SA705,SA504,1.2,bri16,25,D05,sample,7/27/16,31,MYLU,NA,NA,NA
bri160244,ELY,SA712,SB501,1.2,bri16,26,A12,sample,7/5/16,28,EPFU,NA,NA,NA
bri160245,ELY,SA701,SB502,1.2,bri16,26,B01,sample,7/5/16,28,EPFU,NA,NA,NA
bri160246,ELY,SA703,SB502,1.2,bri16,26,B03,sample,7/5/16,28,EPFU,NA,NA,NA
bri160247,ELY,SA704,SB502,1.2,bri16,26,B04,sample,7/5/16,28,MYSE,NA,NA,NA
bri160248,ELY,SA705,SB502,1.2,bri16,26,B05,sample,7/5/16,28,MYSE,NA,NA,NA
bri160249,ELY,SA706,SB502,1.2,bri16,26,B06,sample,7/5/16,28,EPFU,NA,NA,NA
bri160250,ELY,SA707,SB502,1.2,bri16,26,B07,sample,7/5/16,28,EPFU,NA,NA,NA
bri160251,ELY,SA708,SB502,1.2,bri16,26,B08,sample,7/5/16,28,EPFU,NA,NA,NA
bri160252,ELY,SA709,SB502,1.2,bri16,26,B09,sample,7/5/16,28,EPFU,NA,NA,NA
bri160253,ELY,SA710,SB502,1.2,bri16,26,B10,sample,7/5/16,28,EPFU,NA,NA,NA
bri160254,ELY,SA711,SB502,1.2,bri16,26,B11,sample,7/5/16,28,EPFU,NA,NA,NA
bri160255,ELY,SA712,SB502,1.2,bri16,26,B12,sample,7/5/16,28,EPFU,NA,NA,NA
bri160256,ELY,SA701,SB503,1.2,bri16,26,C01,sample,7/5/16,28,EPFU,NA,NA,NA
bri160257,ELY,SA702,SB503,1.2,bri16,26,C02,sample,7/5/16,28,EPFU,NA,NA,NA
bri160258,ELY,SA704,SB503,1.2,bri16,26,C04,sample,7/5/16,28,EPFU,NA,NA,NA
bri160259,ELY,SA705,SB503,1.2,bri16,26,C05,sample,7/5/16,28,EPFU,NA,NA,NA
bri160260,ELY,SA706,SB503,1.2,bri16,26,C06,sample,7/5/16,28,EPFU,NA,NA,NA
bri160261,ELY,SA707,SB503,1.2,bri16,26,C07,sample,7/5/16,28,EPFU,NA,NA,NA
bri160262,ELY,SA708,SB503,1.2,bri16,26,C08,sample,7/5/16,28,EPFU,NA,NA,NA
bri160263,ELY,SA709,SB503,1.2,bri16,26,C09,sample,7/5/16,28,EPFU,NA,NA,NA
bri160264,ELY,SA710,SB503,1.2,bri16,26,C10,sample,7/5/16,28,EPFU,NA,NA,NA
bri160265,ELY,SA711,SB503,1.2,bri16,26,C11,sample,7/5/16,28,MYSE,NA,NA,NA
bri160266,ELY,SA712,SB503,1.2,bri16,26,C12,sample,7/5/16,28,EPFU,NA,NA,NA
bri160267,ELY,SA701,SB504,1.2,bri16,26,D01,sample,7/5/16,28,EPFU,NA,NA,NA
bri160268,ELY,SA702,SB504,1.2,bri16,26,D02,sample,7/5/16,28,EPFU,NA,NA,NA
bri160269,ELY,SA703,SB504,1.2,bri16,26,D03,sample,7/5/16,28,EPFU,NA,NA,NA
bri160270,ELY,SA705,SB504,1.2,bri16,26,D05,sample,7/5/16,28,EPFU,NA,NA,NA
bri160271,ELY,SA706,SB504,1.2,bri16,26,D06,sample,7/5/16,28,EPFU,NA,NA,NA
bri160272,ELY,SA707,SB504,1.2,bri16,26,D07,sample,7/6/16,28,EPFU,NA,NA,NA
bri160273,ELY,SA708,SB504,1.2,bri16,26,D08,sample,7/6/16,28,EPFU,NA,NA,NA
bri160274,ELY,SA709,SB504,1.2,bri16,26,D09,sample,7/6/16,28,EPFU,NA,NA,NA
bri160275,ELY,SA710,SB504,1.2,bri16,26,D10,sample,7/6/16,28,EPFU,NA,NA,NA
bri160276,ELY,SA711,SB504,1.2,bri16,26,D11,sample,7/6/16,28,EPFU,NA,NA,NA
bri160277,ELY,SA712,SB504,1.2,bri16,26,D12,sample,7/6/16,28,MYLE,NA,NA,NA
bri160278,ELY,SA701,SB505,1.2,bri16,26,E01,sample,7/6/16,28,EPFU,NA,NA,NA
bri160279,ELY,SA702,SB505,1.2,bri16,26,E02,sample,7/6/16,28,EPFU,NA,NA,NA
bri160280,ELY,SA703,SB505,1.2,bri16,26,E03,sample,7/6/16,28,EPFU,NA,NA,NA
bri160281,ELY,SA704,SB505,1.2,bri16,26,E04,sample,7/6/16,28,EPFU,NA,NA,NA
bri160282,ELY,SA706,SB505,1.2,bri16,26,E06,sample,7/6/16,28,EPFU,NA,NA,NA
bri160329,ELY,SA709,SC501,1.2,bri16,27,A09,sample,6/14/16,25,MYLE,NA,NA,NA
bri160330,ELY,SA710,SC501,1.2,bri16,27,A10,sample,6/14/16,25,MYLE,NA,NA,NA
bri160331,ELY,SA711,SC501,1.2,bri16,27,A11,sample,6/14/16,25,MYLE,NA,NA,NA
bri160332,ELY,SA712,SC501,1.2,bri16,27,A12,sample,6/14/16,25,EPFU,NA,NA,NA
bri160333,ELY,SA701,SC502,1.2,bri16,27,B01,sample,6/14/16,25,MYLE,NA,NA,NA
bri160334,ELY,SA703,SC502,1.2,bri16,27,B03,sample,6/14/16,25,MYSE,NA,NA,NA
bri160335,ELY,SA704,SC502,1.2,bri16,27,B04,sample,6/15/16,25,MYLE,NA,NA,NA
bri160336,ELY,SA705,SC502,1.2,bri16,27,B05,sample,6/15/16,25,MYLE,NA,NA,NA
bri160337,ELY,SA706,SC502,1.2,bri16,27,B06,sample,6/15/16,25,MYLE,NA,NA,NA
bri160338,ELY,SA707,SC502,1.2,bri16,27,B07,sample,6/15/16,25,MYLE,NA,NA,NA
bri160339,ELY,SA708,SC502,1.2,bri16,27,B08,sample,6/15/16,25,EPFU,NA,NA,NA
bri160340,ELY,SA709,SC502,1.2,bri16,27,B09,sample,6/15/16,25,EPFU,NA,NA,NA
bri160341,ELY,SA710,SC502,1.2,bri16,27,B10,sample,6/15/16,25,EPFU,NA,NA,NA
bri160342,ELY,SA711,SC502,1.2,bri16,27,B11,sample,6/15/16,25,MYLE,NA,NA,NA
bri160343,ELY,SA712,SC502,1.2,bri16,27,B12,sample,6/15/16,25,MYLE,NA,NA,NA
bri160344,ELY,SA701,SC503,1.2,bri16,27,C01,sample,6/15/16,25,MYLE,NA,NA,NA
bri160345,ELY,SA702,SC503,1.2,bri16,27,C02,sample,6/15/16,25,MYLE,NA,NA,NA
bri160346,ELY,SA704,SC503,1.2,bri16,27,C04,sample,6/15/16,25,MYLU,NA,NA,NA
bri160347,ELY,SA705,SC503,1.2,bri16,27,C05,sample,6/15/16,25,MYLE,NA,NA,NA
bri160348,ELY,SA706,SC503,1.2,bri16,27,C06,sample,6/15/16,25,MYLE,NA,NA,NA
bri160349,ELY,SA707,SC503,1.2,bri16,27,C07,sample,6/15/16,25,MYLE,NA,NA,NA
bri160350,ELY,SA708,SC503,1.2,bri16,27,C08,sample,6/16/16,25,MYLE,NA,NA,NA
bri160351,ELY,SA709,SC503,1.2,bri16,27,C09,sample,6/16/16,25,MYLE,NA,NA,NA
