diff	lwr	upr	p.adj	Pairs
0.36	0.063	0.648	0.008	MAP-FOX
-0.25	-0.54	0.036	0.119	FOX-CHI
-0.26	-0.572	0.049	0.144	MTV-MAP
0.22	-0.091	0.522	0.308	MAP-HOL
0.14	-0.128	0.409	0.606	HOL-FOX
-0.16	-0.463	0.148	0.623	MTV-CHI
-0.11	-0.413	0.191	0.853	HOL-CHI
0.09	-0.178	0.367	0.879	MTV-FOX
0.1	-0.219	0.428	0.904	MAP-CHI
-0.05	-0.334	0.241	0.992	MTV-HOL
