diff	lwr	upr	p.adj	Pairs
-0.73	-0.993	-0.459	0	MAP-CHI
-0.73	-0.984	-0.478	0	MAP-HOL
0.67	0.415	0.928	0	MTV-MAP
-0.52	-0.761	-0.278	0	MAP-FOX
0.21	-0.01	0.434	0.07	HOL-FOX
-0.21	-0.445	0.031	0.123	FOX-CHI
0.15	-0.073	0.378	0.346	MTV-FOX
-0.06	-0.297	0.179	0.961	MTV-HOL
-0.05	-0.307	0.198	0.977	MTV-CHI
0	-0.245	0.255	1	HOL-CHI
