diff	lwr	upr	p.adj	Pairs
0.65	0.39	0.907	0	CHI-BRN
0.78	0.514	1.042	0	CNB-BRN
0.72	0.472	0.971	0	HOL-BRN
0.82	0.565	1.084	0	MTV-BRN
-0.72	-0.968	-0.466	0	MAP-CNB
-0.66	-0.895	-0.425	0	MAP-HOL
0.76	0.518	1.008	0	MTV-MAP
-0.59	-0.831	-0.342	0	MAP-CHI
0.59	0.335	0.853	0	MTV-EPS
0.53	0.294	0.769	0	FOX-BRN
-0.47	-0.693	-0.247	0	MAP-FOX
-0.55	-0.811	-0.284	0	EPS-CNB
0.49	0.242	0.74	0	HOL-EPS
0.45	0.195	0.697	0	MTV-HOP
-0.42	-0.675	-0.16	0	EPS-CHI
-0.4	-0.656	-0.143	0	HOP-CNB
0.38	0.113	0.644	0	HOP-BRN
-0.34	-0.584	-0.102	0	HOP-HOL
0.29	0.071	0.515	0.001	MTV-FOX
0.3	0.064	0.538	0.003	FOX-EPS
-0.32	-0.569	-0.065	0.003	MAP-HOP
-0.25	-0.475	-0.018	0.023	FOX-CNB
-0.27	-0.52	-0.019	0.024	HOP-CHI
0.19	-0.02	0.401	0.115	HOL-FOX
0.23	-0.041	0.503	0.174	EPS-BRN
0.18	-0.068	0.421	0.377	MTV-CHI
-0.15	-0.382	0.077	0.495	HOP-FOX
-0.17	-0.428	0.09	0.523	MAP-EPS
0.15	-0.117	0.413	0.723	HOP-EPS
-0.12	-0.338	0.105	0.784	FOX-CHI
0.13	-0.12	0.38	0.796	CNB-CHI
0.1	-0.132	0.337	0.912	MTV-HOL
0.07	-0.16	0.307	0.988	HOL-CHI
0.06	-0.198	0.321	0.998	MAP-BRN
-0.06	-0.297	0.184	0.998	HOL-CNB
0.05	-0.204	0.297	1	MTV-CNB
